spot; pays; region; departement; ville; hauteur; nb_lignes; meileures_saisons; cotations; approche; orientation; hauteur_min; hauteur_max; hauteur_moyenne; type; latitude; longitude
Falaise 3 rivieres; France ; Rhone Alpes ; Drome ; entrechaux; 10 - 40m; 300; Printemps, Été, Automne; 4b 9a; Facile | 5min; Nord, Nord-Ouest; 10m; 40m; 25m; Couenne; 44.236498; 5.147780
Falaise Ablon; Annecy;  ;  ;  ; 15 - 80m; 240; Été, Automne; 4a 8b; Modérée | 50min; Sud-Est; 15m; 80m; 26m; Couenne; 45.934018; 6.280872
Falaise Actinidias; France ; Rhone Alpes ; Ardèche ; Berrias et Casteljau; 20 - 35m; 58; Printemps, Été, Automne; 4a 8c; Facile | 5min; Est; 20m; 35m; 25m; Couenne; 44.402821; 4.199008
Falaise Ahuy; France ; Bourgogne ; Côte d'Or ; Ahuy; 8 - 15m; 20; Printemps, Automne; 4a 7b; Facile | 3min; Sud, Ouest; 8m; 15m; 13m; Couenne; 47.37006 ; 5.015443
Falaise Aiguille de buis; France ; Rhone Alpes ; Drome ; buis les baronnies; 15 - 60m; 60; Printemps, Automne, Hiver; 4b 7c; Modérée | 20min; Sud, Est; 15m; 60m; 30m; Couenne, Voie de plusieurs longueurs; 44.286226; 5.291418
Falaise Ailefroide – Secteur Champignon; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ailefroide; 3 - 5m; 15; Été; 5c 7b; Facile | 8min; Toutes; 3m; 5m; 4m; Bloc; 44.886123; 6.450595
Falaise Ailefroide – secteur Dalle; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ailefroide; 3 - 4m; 9; Été; 5b 8a; Facile | 5min; Nord, Est, Ouest; 3m; 4m; 3m; Bloc; 44.877281; 6.476849
Falaise Ailefroide – Secteur pavé; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ailefroide; 3 - 5m; 26; Été; 5c 7c; Facile | 5min; Toutes; 3m; 5m; 4m; Bloc; 44.880853; 6.462719
Falaise Ailefroide – Secteur Philémon; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ailefroide; 2 - 3m; 38; Été; 5a 7b; Facile | 2min; Toutes; 2m; 3m; 3m; Bloc; 44.881539; 6.460264
Falaise Ailefroide – Secteur Pont; France ; Provence Alpes Cote d'Azur ; Hautes Alpes ; Ailefroide; 5 - 7m; 10; Été; 7a 8a; Facile | 2min; Sud, Sud-Est; 5m; 7m; 6m; Bloc; 44.882660; 6.455018
