spot; pays; region; type; hauteur; orientation; nombre de voies; cotations
Ablon; France; Haute-Savoie; TypeFalaise; Hauteur80 m; OrientationSud-Est; Nombre de voies400 voies; CotationsDe 4b à 8b
Ailefroide; France; Hautes-Alpes; TypeBloc, Falaise; Hauteur4 m (blocs) à 400 m (voies); OrientationToutes; Nombre de voies500 voies; CotationsDe 3a à 8a
Annot; France; Alpes-de-Haute-Provence; TypeBloc, Falaise; Hauteur25 m; OrientationToutes; Nombre de voies400 voies; CotationsDe 4c à 8c+
Antalya; Turquie; ; TypeFalaise; HauteurNC; OrientationNC; Nombre de voiesNC; CotationsDe 3a à 8c
Arudy; France; Pyrénées-Atlantiques; TypeFalaise; Hauteur55 m; OrientationSud-Ouest; Nombre de voies230 voies; CotationsDe 3c à 8b
Autoire; France; Lot; TypeFalaise; Hauteur5 à 25 m; OrientationEst, Sud-Est; Nombre de voies271 voies; CotationsDe 5a à 8b
Badami; Inde; ; TypeFalaise; Hauteur20 à 30 m; OrientationToutes; Nombre de voies120 voies; CotationsDe 5c+ à 8c
Balme de Yenne; France; Savoie; TypeFalaise; Hauteur20 à 60 m; OrientationNord; Nombre de voies70 voies; CotationsDe 6b à 9a
Bavella; France; Corse-du-Sud; TypeFalaise; Hauteur600 m; OrientationToutes; Nombre de voies200 voies; CotationsDe 3c à 8b
Bergholtz; France; Haut-Rhin; TypeFalaise; Hauteur25 m; OrientationEst; Nombre de voies81; CotationsDe 4c à 8a
Bionnassay; France; Haute-Savoie; TypeFalaise; Hauteur40 m; OrientationOuest, Sud-Ouest; Nombre de voies50 voies; CotationsDe 5c à 9a
Blue Mountains; Australie; ; TypeFalaise; HauteurNC; OrientationNC; Nombre de voiesNC; CotationsDe NC à NC
Boven; Afrique du Sud; ; TypeFalaise; Hauteur35 m; OrientationToutes; Nombre de voies500 voies; CotationsDe 3a à 8b
Buoux; France; Vaucluse; TypeFalaise; Hauteur70 m; OrientationToutes; Nombre de voies500 voies; CotationsDe 4b à 8c+
Cantobre; France; Aveyron; TypeFalaise; Hauteur20 à 40 m; OrientationSud, Sud-Est, Est; Nombre de voies55 voies; CotationsDe 5c à 9a
Cap Dramont; France; Var; TypeFalaise; Hauteur8 à 30 m; OrientationToutes; Nombre de voies50 voies; CotationsDe 3a à 7c
Castillon; France; Alpes-Maritimes; TypeFalaise; Hauteur40 m; OrientationSud-Ouest; Nombre de voies55 voies; CotationsDe 6b à 8c+
Céüse; France; Hautes-Alpes; TypeFalaise; Hauteur130 m; OrientationToutes; Nombre de voies400 voies; CotationsDe 5a à 9a+
Chamiers; France; Ardèche; TypeBloc; Hauteur5 m; OrientationToutes; Nombre de voies25; CotationsDe 4b à 6a+
Cimaï; France; Var; TypeFalaise; Hauteur20 à 80 m; OrientationSud-Est; Nombre de voies230 voies; CotationsDe 4a à 8b+
Cirque d’Archiane; France; Drôme; TypeFalaise; Hauteur200 à 400 m; OrientationSud-Ouest, Sud, Est; Nombre de voies50 voies; CotationsDe 5b à 7b
Claret; France; Hérault; TypeFalaise; Hauteur30 m; OrientationSud; Nombre de voiesUne bonne centaine; CotationsDe 5c à 8c
Clemont; France; Doubs; TypeFalaise; Hauteur10 à 25 m; OrientationPlein Sud; Nombre de voies70 voies; CotationsDe 4c à 8c
Clisson; France; Loire-Atlantique; TypeBloc; Hauteur2 à 5 m; OrientationToutes; Nombre de voies100 passages; CotationsDe 3a à 7a
Ablon; France; Haute-Savoie; TypeFalaise; Hauteur80 m; OrientationSud-Est; Nombre de voies400 voies; CotationsDe 4b à 8b
Ailefroide; France; Hautes-Alpes; TypeBloc, Falaise; Hauteur4 m (blocs) à 400 m (voies); OrientationToutes; Nombre de voies500 voies; CotationsDe 3a à 8a
Annot; France; Alpes-de-Haute-Provence; TypeBloc, Falaise; Hauteur25 m; OrientationToutes; Nombre de voies400 voies; CotationsDe 4c à 8c+
Antalya; Turquie; ; TypeFalaise; HauteurNC; OrientationNC; Nombre de voiesNC; CotationsDe 3a à 8c
Arudy; France; Pyrénées-Atlantiques; TypeFalaise; Hauteur55 m; OrientationSud-Ouest; Nombre de voies230 voies; CotationsDe 3c à 8b
Autoire; France; Lot; TypeFalaise; Hauteur5 à 25 m; OrientationEst, Sud-Est; Nombre de voies271 voies; CotationsDe 5a à 8b
Badami; Inde; ; TypeFalaise; Hauteur20 à 30 m; OrientationToutes; Nombre de voies120 voies; CotationsDe 5c+ à 8c
Balme de Yenne; France; Savoie; TypeFalaise; Hauteur20 à 60 m; OrientationNord; Nombre de voies70 voies; CotationsDe 6b à 9a
Bavella; France; Corse-du-Sud; TypeFalaise; Hauteur600 m; OrientationToutes; Nombre de voies200 voies; CotationsDe 3c à 8b
Bergholtz; France; Haut-Rhin; TypeFalaise; Hauteur25 m; OrientationEst; Nombre de voies81; CotationsDe 4c à 8a
Bionnassay; France; Haute-Savoie; TypeFalaise; Hauteur40 m; OrientationOuest, Sud-Ouest; Nombre de voies50 voies; CotationsDe 5c à 9a
Blue Mountains; Australie; ; TypeFalaise; HauteurNC; OrientationNC; Nombre de voiesNC; CotationsDe NC à NC
Boven; Afrique du Sud; ; TypeFalaise; Hauteur35 m; OrientationToutes; Nombre de voies500 voies; CotationsDe 3a à 8b
Buoux; France; Vaucluse; TypeFalaise; Hauteur70 m; OrientationToutes; Nombre de voies500 voies; CotationsDe 4b à 8c+
Cantobre; France; Aveyron; TypeFalaise; Hauteur20 à 40 m; OrientationSud, Sud-Est, Est; Nombre de voies55 voies; CotationsDe 5c à 9a
Cap Dramont; France; Var; TypeFalaise; Hauteur8 à 30 m; OrientationToutes; Nombre de voies50 voies; CotationsDe 3a à 7c
Castillon; France; Alpes-Maritimes; TypeFalaise; Hauteur40 m; OrientationSud-Ouest; Nombre de voies55 voies; CotationsDe 6b à 8c+
Céüse; France; Hautes-Alpes; TypeFalaise; Hauteur130 m; OrientationToutes; Nombre de voies400 voies; CotationsDe 5a à 9a+
Chamiers; France; Ardèche; TypeBloc; Hauteur5 m; OrientationToutes; Nombre de voies25; CotationsDe 4b à 6a+
Cimaï; France; Var; TypeFalaise; Hauteur20 à 80 m; OrientationSud-Est; Nombre de voies230 voies; CotationsDe 4a à 8b+
Cirque d’Archiane; France; Drôme; TypeFalaise; Hauteur200 à 400 m; OrientationSud-Ouest, Sud, Est; Nombre de voies50 voies; CotationsDe 5b à 7b
Claret; France; Hérault; TypeFalaise; Hauteur30 m; OrientationSud; Nombre de voiesUne bonne centaine; CotationsDe 5c à 8c
Clemont; France; Doubs; TypeFalaise; Hauteur10 à 25 m; OrientationPlein Sud; Nombre de voies70 voies; CotationsDe 4c à 8c
Clisson; France; Loire-Atlantique; TypeBloc; Hauteur2 à 5 m; OrientationToutes; Nombre de voies100 passages; CotationsDe 3a à 7a
Col de la Colombière; France; Haute-Savoie; TypeFalaise; Hauteur20 à 80 m; OrientationSud-Est; Nombre de voies120 voies; CotationsDe 4c à 7c
Collias; France; Gard; TypeFalaise; Hauteur20 à 60 m; OrientationPlein Sud; Nombre de voies200 voies; CotationsDe 3b à 8b+
Cormot; France; Bourgogne; TypeFalaise; Hauteur35 m; OrientationToutes; Nombre de voies280 voies; CotationsDe 3c à 9a
Côté Court; France; Drôme; TypeFalaise; HauteurNC; OrientationPlein sud; Nombre de voies32; CotationsDe 6c à projet
Courchon (Verdon); France; Alpes-de-Haute-Provence; TypeFalaise; Hauteur35 m; OrientationSud, Sud-Ouest; Nombre de voies80 voies; CotationsDe 6a à 8b+
Couyrac; France; Tarn-et-Garonne; TypeFalaise; Hauteur10 à 70 m; OrientationEst, sud-est; Nombre de voies70; CotationsDe 5b à 8a
Crenans; France; Jura; TypeFalaise; HauteurNC; OrientationOuest; Nombre de voiesEnviron 60 voies; CotationsDe 6a à 8b
D.J. Face; France; Isère; TypeFalaise; Hauteur30 à 60 m; OrientationNord-Est, Est; Nombre de voiesPlus d'une centaine; CotationsDe 6a+ à 8c
Dalle de Gleize; France; Hautes-Alpes; TypeFalaise; Hauteur300 m; OrientationSud-est; Nombre de voiesNC; CotationsDe 4+ à 6a+
El Chonta; Mexique; ; TypeFalaise; Hauteur180 m; OrientationToutes; Nombre de voies100 voies; CotationsDe 6c à 9a+
Entraigues; France; Isère; TypeBloc; Hauteur7 m; OrientationToutes; Nombre de voies84; CotationsDe 2 à 8a+
Entraygues; France; Hautes-Alpes; TypeFalaise; Hauteur20 m; OrientationNord; Nombre de voies50 voies; CotationsDe 6a à 9a
Eyroles; France; Drôme; TypeFalaise; Hauteur35 m; OrientationSud-OUest, Nord-Est; Nombre de voies400 voies; CotationsDe 4+ à 8+
