spot,pays,region,type,hauteur,orientation,nombre de voies,cotations
Ablon,France,Haute-Savoie,Falaise,80 m,Sud-Est,400 voies,De 4b à 8b
Ailefroide,France,Hautes-Alpes,"Bloc, Falaise",4 m (blocs) à 400 m (voies),Toutes,500 voies,De 3a à 8a
Annot,France,Alpes-de-Haute-Provence,"Bloc, Falaise",25 m,Toutes,400 voies,De 4c à 8c+
Antalya,Turquie,,Falaise,NC,NC,NC,De 3a à 8c
Arudy,France,Pyrénées-Atlantiques,Falaise,55 m,Sud-Ouest,230 voies,De 3c à 8b
Autoire,France,Lot,Falaise,5 à 25 m,"Est, Sud-Est",271 voies,De 5a à 8b
Badami,Inde,,Falaise,20 à 30 m,Toutes,120 voies,De 5c+ à 8c
Balme de Yenne,France,Savoie,Falaise,20 à 60 m,Nord,70 voies,De 6b à 9a
Bavella,France,Corse-du-Sud,Falaise,600 m,Toutes,200 voies,De 3c à 8b
Bergholtz,France,Haut-Rhin,Falaise,25 m,Est,81,De 4c à 8a
Bionnassay,France,Haute-Savoie,Falaise,40 m,"Ouest, Sud-Ouest",50 voies,De 5c à 9a
Blue Mountains,Australie,,Falaise,NC,NC,NC,De NC à NC
Boven,Afrique du Sud,,Falaise,35 m,Toutes,500 voies,De 3a à 8b
Buoux,France,Vaucluse,Falaise,70 m,Toutes,500 voies,De 4b à 8c+
Cantobre,France,Aveyron,Falaise,20 à 40 m,"Sud, Sud-Est, Est",55 voies,De 5c à 9a
Cap Dramont,France,Var,Falaise,8 à 30 m,Toutes,50 voies,De 3a à 7c
Castillon,France,Alpes-Maritimes,Falaise,40 m,Sud-Ouest,55 voies,De 6b à 8c+
Céüse,France,Hautes-Alpes,Falaise,130 m,Toutes,400 voies,De 5a à 9a+
Chamiers,France,Ardèche,Bloc,5 m,Toutes,25,De 4b à 6a+
Cimaï,France,Var,Falaise,20 à 80 m,Sud-Est,230 voies,De 4a à 8b+
Cirque d’Archiane,France,Drôme,Falaise,200 à 400 m,"Sud-Ouest, Sud, Est",50 voies,De 5b à 7b
Claret,France,Hérault,Falaise,30 m,Sud,Une bonne centaine,De 5c à 8c
